timestamp(ms),x,dx,theta,dtheta,
"1757555993.384",,,"0.0254",,
"1757555993.386",,,,"-0.0539",
"1757555993.483","0.0024",,,,
"1757555993.484",,"0.0046",,,
"1757555993.486",,,"0.0177",,
"1757555993.487",,,,"-0.0989",
"1757555993.584","0.0029",,,,
"1757555993.585",,"0.0057",,,
"1757555993.586",,,"0.0069",,
"1757555993.588",,,,"-0.1238",
"1757555993.685","0.0035",,,,
"1757555993.686",,"0.0057",,,
"1757555993.688",,,"-0.005",,
"1757555993.689",,,,"-0.1243",
"1757555993.786","0.004",,,,
"1757555993.787",,"0.0046",,,
"1757555993.789",,,"-0.0156",,
"1757555993.79",,,,"-0.101",
"1757555993.887","0.0044",,,,
"1757555993.888",,"0.0026",,,
"1757555993.89",,,"-0.023",,
"1757555993.891",,,,"-0.0589",
"1757555993.988","0.0045",,,,
"1757555993.989",,"0.0001",,,
"1757555993.991",,,"-0.0258",,
"1757555993.992",,,,"-0.0066",
"1757555994.089","0.0044",,,,
"1757555994.09",,"-0.0023",,,
"1757555994.092",,,"-0.0235",,
"1757555994.093",,,,"0.0456",
"1757555994.19","0.0041",,,,
"1757555994.191",,"-0.0043",,,
"1757555994.193",,,"-0.0168",,
"1757555994.194",,,,"0.0878",
"1757555994.291","0.0036",,,,
"1757555994.292",,"-0.0054",,,
"1757555994.294",,,"-0.0071",,
"1757555994.295",,,,"0.1121",
"1757555994.392","0.003",,,,
"1757555994.393",,"-0.0055",,,
"1757555994.395",,,"0.0038",,
"1757555994.396",,,,"0.1143",
"1757555994.493","0.0025",,,,
"1757555994.494",,"-0.0045",,,
"1757555994.496",,,"0.0136",,
"1757555994.497",,,,"0.0945",
"1757555994.594","0.0022",,,,
"1757555994.595",,"-0.0027",,,
"1757555994.597",,,"0.0206",,
"1757555994.598",,,,"0.0571",
"1757555994.695","0.002",,,,
"1757555994.696",,"-0.0005",,,
"1757555994.698",,,"0.0235",,
"1757555994.699",,,,"0.0097",
"1757555994.796","0.0021",,,,
"1757555994.797",,"0.0018",,,
"1757555994.8",,,"0.0218",,
"1757555994.801",,,,"-0.0383",
"1757555994.897","0.0023",,,,
"1757555994.898",,"0.0036",,,
"1757555994.9",,,"0.016",,
"1757555994.901",,,,"-0.0778",
"1757555994.998","0.0028",,,,
"1757555994.999",,"0.0047",,,
"1757555995.001",,,"0.0072",,
"1757555995.002",,,,"-0.1014",
"1757555995.099","0.0033",,,,
"1757555995.1",,"0.0049",,,
"1757555995.102",,,"-0.0027",,
"1757555995.103",,,,"-0.105",
"1757555995.2","0.0037",,,,
"1757555995.201",,"0.004",,,
"1757555995.203",,,"-0.0119",,
"1757555995.204",,,,"-0.0883",
"1757555995.301","0.004",,,,
"1757555995.302",,"0.0025",,,
"1757555995.305",,,"-0.0185","-0.0552",
"1757555995.402","0.0042",,,,
"1757555995.403",,"0.0004",,,
"1757555995.405",,,"-0.0214",,
"1757555995.406",,,,"-0.0123",
"1757555995.503","0.0041",,,,
"1757555995.504",,"-0.0016",,,
"1757555995.506",,,"-0.0202",,
"1757555995.508",,,,"0.0319",
"1757555995.604","0.0039",,,,
"1757555995.605",,"-0.0034",,,
"1757555995.608",,,"-0.0151","0.0688",
"1757555995.705","0.0035",,,,
"1757555995.707",,"-0.0044",,,
"1757555995.708",,,"-0.0072",,
"1757555995.709",,,,"0.0917",
"1757555995.806","0.003",,,,
"1757555995.807",,"-0.0046",,,
"1757555995.814",,,"0.0018","0.0963",
"1757555995.907","0.0026",,,,
"1757555995.908",,"-0.0039",,,
"1757555995.91",,,"0.0103",,
"1757555995.911",,,,"0.0824",
"1757555996.009","0.0023",,,,
"1757555996.01",,"-0.0025",,,
"1757555996.011",,,"0.0166",,
"1757555996.013",,,,"0.0531",
"1757555996.109","0.0021",,,,
"1757555996.11",,"-0.0007",,,
"1757555996.112",,,"0.0195",,
"1757555996.113",,,,"0.0143",
"1757555996.21","0.0021",,,,
"1757555996.211",,"0.0012",,,
"1757555996.213",,,"0.0186",,
"1757555996.214",,,,"-0.0263",
"1757555996.311","0.0023",,,,
"1757555996.312",,"0.0028",,,
"1757555996.314",,,"0.0142",,
"1757555996.315",,,,"-0.0608",
"1757555996.412","0.0027",,,,
"1757555996.413",,"0.0038",,,
"1757555996.415",,,"0.0072",,
"1757555996.416",,,,"-0.0827",
"1757555996.513","0.0031",,,,
"1757555996.514",,"0.0041",,,
"1757555996.516",,,"-0.001",,
