timestamp(ms),x,dx,theta,dtheta,
"1757555986.144","0.0009","-0.0021","0.0693","0.0437",
"1757555986.211","0.001",,,,
"1757555986.212",,"0.0047",,,
"1757555986.213",,,"0.0656",,
"1757555986.215",,,,"-0.0997",
"1757555986.312","0.0018",,,,
"1757555986.313",,"0.0103",,,
"1757555986.314",,,"0.0495",,
"1757555986.316",,,,"-0.2203",
"1757555986.413","0.003","0.0138",,,
"1757555986.415",,,"0.0242",,
"1757555986.417",,,,"-0.2956",
"1757555986.515","0.0045","0.0145",,,
"1757555986.516",,,"-0.0051",,
"1757555986.518",,,,"-0.3124",
"1757555986.614","0.0058",,,,
"1757555986.616",,"0.0124","-0.0326",,
"1757555986.619",,,,"-0.2689",
"1757555986.716","0.0069",,,,
"1757555986.717",,"0.0079",,,
"1757555986.718",,,"-0.0532",,
"1757555986.72",,,,"-0.175",
"1757555986.816","0.0074",,,,
"1757555986.818",,"0.002","-0.0631",,
"1757555986.821",,,,"-0.0499",
"1757555986.918","0.0073",,,,
"1757555986.919",,"-0.0042",,,
"1757555986.92",,,"-0.0606",,
"1757555986.921",,,,"0.0817",
"1757555987.019","0.0066",,,,
"1757555987.02",,"-0.0095",,,
"1757555987.021",,,"-0.0466",,
"1757555987.023",,,,"0.1942",
"1757555987.12","0.0054",,,,
"1757555987.121",,"-0.0128","-0.024",,
"1757555987.123",,,,"0.2667",
"1757555987.221","0.0041",,,,
"1757555987.222",,"-0.0137",,,
"1757555987.223",,,"0.0026",,
"1757555987.224",,,,"0.2862",
"1757555987.322","0.0028","-0.0119",,,
"1757555987.324",,,"0.0281",,
"1757555987.325",,,,"0.2504",
"1757555987.423","0.0018",,,,
"1757555987.424",,"-0.008",,,
"1757555987.425",,,"0.0475",,
"1757555987.427",,,,"0.1675",
"1757555987.523","0.0012",,,,
"1757555987.524",,"-0.0026",,,
"1757555987.525",,,"0.0573",,
"1757555987.527",,,,"0.0546",
"1757555987.625","0.0013",,,,
"1757555987.626",,"0.0031",,,
"1757555987.627",,,"0.056",,
"1757555987.629",,,,"-0.0659",
"1757555987.726","0.0018",,,,
"1757555987.727",,"0.008",,,
"1757555987.728",,,"0.0439",,
"1757555987.729",,,,"-0.1708",
"1757555987.827","0.0028",,,,
"1757555987.829",,"0.0112","0.0237",,
"1757555987.831",,,,"-0.2403",
"1757555987.928","0.004","0.0122",,,
"1757555987.93",,,"-0.0005",,
"1757555987.932",,,,"-0.2619",
"1757555988.028","0.0052",,,,
"1757555988.03",,"0.0107",,,
"1757555988.031",,,"-0.024",,
"1757555988.032",,,,"-0.2329",
"1757555988.13","0.0061",,,,
"1757555988.131",,"0.0073",,,
"1757555988.132",,,"-0.0423",,
"1757555988.134",,,,"-0.1599",
"1757555988.231","0.0066",,,,
"1757555988.232",,"0.0024",,,
"1757555988.233",,,"-0.0521",,
"1757555988.234",,,,"-0.0581",
"1757555988.332","0.0066",,,,
"1757555988.333",,"-0.0028",,,
"1757555988.334",,,"-0.0516",,
"1757555988.335",,,,"0.0522",
"1757555988.432","0.006",,,,
"1757555988.434",,"-0.0073",,,
"1757555988.435",,,"-0.0412",,
"1757555988.436",,,,"0.1498",
"1757555988.534","0.0051",,,,
"1757555988.535",,"-0.0104",,,
"1757555988.536",,,"-0.0232",,
"1757555988.538",,,,"0.2162",
"1757555988.635","0.004",,,,
"1757555988.636",,"-0.0114",,,
"1757555988.637",,,"-0.0012",,
"1757555988.638",,,,"0.2394",
"1757555988.736","0.0029",,,,
"1757555988.737",,"-0.0103",,,
"1757555988.738",,,"0.0205",,
"1757555988.74",,,,"0.2162",
"1757555988.837","0.002",,,,
"1757555988.838",,"-0.0072",,,
"1757555988.839",,,"0.0377",,
"1757555988.84",,,,"0.1522",
"1757555988.938","0.0015",,,,
"1757555988.939",,"-0.0029",,,
"1757555988.94",,,"0.0472",,
"1757555988.942",,,,"0.0606",
"1757555989.039","0.0015",,,,
"1757555989.04",,"0.0019",,,
"1757555989.041",,,"0.0475",,
"1757555989.042",,,,"-0.0404",
"1757555989.14","0.0019",,,,
"1757555989.141",,"0.0061",,,
"1757555989.142",,,"0.0386",,
"1757555989.143",,,,"-0.131",
"1757555989.241","0.0027",,,,
"1757555989.242",,"0.0091","0.0226",,
"1757555989.245",,,,"-0.1942",
"1757555989.342","0.0036",,,,
"1757555989.344",,"0.0102",,,
"1757555989.345",,,"0.0026",,
"1757555989.347",,,,"-0.2186",
"1757555989.443","0.0046",,,,
"1757555989.444",,"0.0093",,,
"1757555989.445",,,"-0.0173",,
"1757555989.447",,,,"-0.2005",
"1757555989.544","0.0054",,,,
"1757555989.546",,"0.0066","-0.0335",,
"1757555989.548",,,,"-0.1444",
"1757555989.645","0.0059",,,,
"1757555989.646",,"0.0027",,,
"1757555989.647",,,"-0.0428",,
"1757555989.649",,,,"-0.0621",
"1757555989.746","0.0059",,,,
"1757555989.747",,"-0.0017",,,
"1757555989.748",,,"-0.0437",,
"1757555989.75",,,,"0.0301",
"1757555989.847","0.0056",,,,
"1757555989.848",,"-0.0056",,,
"1757555989.849",,,"-0.0361",,
"1757555989.85",,,,"0.1142",
"1757555989.948","0.0049",,,,
"1757555989.949",,"-0.0084",,,
"1757555989.95",,,"-0.0219",,
"1757555989.951",,,,"0.1742",
"1757555990.049","0.0039",,,,
"1757555990.05",,"-0.0095",,,
"1757555990.051",,,"-0.0038",,
"1757555990.053",,,,"0.1994",
"1757555990.15","0.003",,,,
"1757555990.151",,"-0.0089",,,
"1757555990.152",,,"0.0145",,
"1757555990.154",,,,"0.1857",
"1757555990.251","0.0022",,,,
"1757555990.252",,"-0.0065",,,
"1757555990.253",,,"0.0296",,
"1757555990.255",,,,"0.1368",
"1757555990.352","0.0017",,,,
"1757555990.353",,"-0.003",,,
"1757555990.354",,,"0.0387",,
"1757555990.355",,,,"0.0629",
"1757555990.453","0.0016",,,,
"1757555990.454",,"0.001",,,
"1757555990.455",,,"0.0401",,
"1757555990.456",,,,"-0.0212",
"1757555990.554","0.0019",,,,
"1757555990.555",,"0.0046",,,
"1757555990.557",,,"0.0338",,
"1757555990.559",,,,"-0.0991",
"1757555990.655","0.0025",,,,
"1757555990.656",,"0.0073",,,
"1757555990.657",,,"0.0211",,
"1757555990.659",,,,"-0.1561",
"1757555990.756","0.0033",,,,
"1757555990.757",,"0.0084",,,
"1757555990.758",,,"0.0048",,
"1757555990.76",,,,"-0.1817",
"1757555990.857","0.0042","0.0079",,,
"1757555990.859",,,"-0.0121",,
"1757555990.861",,,,"-0.1718",
"1757555990.958","0.0049",,,,
"1757555990.959",,"0.0059",,,
"1757555990.96",,,"-0.0262",,
"1757555990.961",,,,"-0.1292",
"1757555991.06","0.0053","0.0028",,,
"1757555991.061",,,"-0.035",,
"1757555991.064",,,,"-0.063",
"1757555991.16","0.0054",,,,
"1757555991.161",,"-0.0009",,,
"1757555991.162",,,"-0.0368",,
"1757555991.164",,,,"0.0137",
"1757555991.261","0.0051",,,,
"1757555991.262",,"-0.0042",,,
"1757555991.263",,,"-0.0315",,
"1757555991.265",,,,"0.0858",
"1757555991.362","0.0046",,,,
"1757555991.363",,"-0.0068",,,
"1757555991.364",,,"-0.0203",,
"1757555991.366",,,,"0.1396",
"1757555991.463","0.0038",,,,
"1757555991.464",,"-0.0079",,,
"1757555991.465",,,"-0.0055",,
"1757555991.467",,,,"0.1653",
"1757555991.564","0.0031",,,,
"1757555991.565",,"-0.0076",,,
"1757555991.566",,,"0.0099",,
"1757555991.568",,,,"0.1587",
"1757555991.665","0.0024",,,,
"1757555991.666",,"-0.0058",,,
"1757555991.667",,,"0.0231",,
"1757555991.668",,,,"0.1219",
"1757555991.766","0.0019",,,,
"1757555991.767",,"-0.003",,,
"1757555991.768",,,"0.0315",,
"1757555991.77",,,,"0.0626",
"1757555991.867","0.0018",,,,
"1757555991.868",,"0.0003",,,
"1757555991.869",,,"0.0337",,
"1757555991.871",,,,"-0.0072",
"1757555991.968","0.002",,,,
"1757555991.969",,"0.0034",,,
"1757555991.97",,,"0.0293",,
"1757555991.972",,,,"-0.0739",
"1757555992.069","0.0025",,,,
"1757555992.07",,"0.0058",,,
"1757555992.071",,,"0.0195",,
"1757555992.073",,,,"-0.1247",
"1757555992.17","0.0031",,,,
"1757555992.171",,"0.007",,,
"1757555992.172",,,"0.0061",,
"1757555992.174",,,,"-0.1503",
"1757555992.271","0.0038",,,,
"1757555992.272",,"0.0068",,,
"1757555992.274",,,"-0.0081",,
"1757555992.275",,,,"-0.1465",
"1757555992.372","0.0044",,,,
"1757555992.373",,"0.0052",,,
"1757555992.375",,,"-0.0204",,
"1757555992.376",,,,"-0.1147",
"1757555992.473","0.0048",,,,
"1757555992.474",,"0.0027",,,
"1757555992.476",,,"-0.0284",,
"1757555992.478",,,,"-0.0617",
"1757555992.574","0.0049",,,,
"1757555992.575",,"-0.0003",,,
"1757555992.577",,,"-0.0309",,
"1757555992.578",,,,"0.0018",
"1757555992.675","0.0048",,,,
"1757555992.676",,"-0.0032",,,
"1757555992.678",,,"-0.0273",,
"1757555992.679",,,,"0.0633",
"1757555992.776","0.0043",,,,
"1757555992.777",,"-0.0054",,,
"1757555992.778",,,"-0.0186",,
"1757555992.78",,,,"0.1111",
"1757555992.877","0.0037",,,,
"1757555992.878",,"-0.0066",,,
"1757555992.881",,,"-0.0066","0.1365",
"1757555992.978","0.0031",,,,
"1757555992.979",,"-0.0065",,,
"1757555992.98",,,"0.0064",,
"1757555992.982",,,,"0.135",
"1757555993.079","0.0025",,,,
"1757555993.08",,"-0.0051",,,
"1757555993.081",,,"0.0179",,
"1757555993.083",,,,"0.1077",
"1757555993.18","0.0021",,,,
"1757555993.182",,"-0.0029",,,
"1757555993.183",,,"0.0256",,
"1757555993.184",,,,"0.0605",
"1757555993.281","0.0019",,,,
"1757555993.282",,"-0.0002",,,
"1757555993.283",,,"0.0282",,
"1757555993.285",,,,"0.0028",
"1757555993.382","0.002",,,,
"1757555993.383",,"0.0025",,,
