timestamp(ms),x,dx,theta,dtheta,
"1757557946.086",,"0.0151","-0.063",,
"1757557946.087",,,,"-0.3444",
"1757557946.186","0.0067",,,,
"1757557946.187",,"0.0074","-0.0896",,
"1757557946.189",,,,"-0.1765",
"1757557946.287","0.007","-0.0019",,,
"1757557946.288",,,"-0.0971",,
"1757557946.289",,,,"0.0287",
"1757557946.388","0.0064",,,,
"1757557946.389",,"-0.0109",,,
"1757557946.39",,,"-0.084",,
"1757557946.391",,,,"0.2276",
"1757557946.489","0.0049",,,,
"1757557946.49",,"-0.0176","-0.0532",,
"1757557946.492",,,,"0.3781",
"1757557946.589","0.003",,,,
"1757557946.591",,"-0.0206",,,
"1757557946.592",,,"-0.0111",,
"1757557946.593",,,,"0.4484",
"1757557946.691","0.0009","-0.0193",,,
"1757557946.693",,,"0.0333",,
"1757557946.694",,,,"0.4236",
"1757557946.792","-0.0008",,,,
"1757557946.793",,"-0.014",,,
"1757557946.794",,,"0.0706",,
"1757557946.795",,,,"0.3091",
"1757557946.893","-0.0018",,,,
"1757557946.894",,"-0.0057","0.0929",,
"1757557946.896",,,,"0.1292",
"1757557946.993","-0.0019",,,,
"1757557946.995",,"0.0037","0.0955",,
"1757557946.998",,,,"-0.0779",
"1757557947.095","-0.0011",,,,
"1757557947.096",,"0.0123",,,
"1757557947.097",,,"0.0779",,
"1757557947.098",,,,"-0.2683",
"1757557947.196","0.0005",,,,
"1757557947.197",,"0.0182",,,
"1757557947.198",,,"0.0438",,
"1757557947.199",,,,"-0.4017",
"1757557947.297","0.0025",,,,
"1757557947.298",,"0.0202",,,
"1757557947.299",,,"0.0004",,
"1757557947.3",,,,"-0.4498",
"1757557947.398","0.0044",,,,
"1757557947.399",,"0.0179",,,
"1757557947.4",,,"-0.043",,
"1757557947.402",,,,"-0.4026",
"1757557947.498","0.0059",,,,
"1757557947.5",,"0.0117",,,
"1757557947.501",,,"-0.0773",,
"1757557947.502",,,,"-0.2702",
"1757557947.6","0.0067",,,,
"1757557947.601",,"0.0031",,,
"1757557947.602",,,"-0.0951",,
"1757557947.604",,,,"-0.0806",
"1757557947.701","0.0065",,,,
"1757557947.702",,"-0.0063",,,
"1757557947.703",,,"-0.0928",,
"1757557947.704",,,,"0.1259",
"1757557947.802","0.0054",,,,
"1757557947.803",,"-0.0144",,,
"1757557947.804",,,"-0.0708",,
"1757557947.806",,,,"0.3055",
"1757557947.903","0.0037",,,,
"1757557947.904",,"-0.0194",,,
"1757557947.905",,,"-0.0339",,
"1757557947.907",,,,"0.4202",
"1757557948.004","0.0017",,,,
"1757557948.005",,"-0.0204","0.0102",,
"1757557948.007",,,,"0.4458",
"1757557948.105","-0.0002",,,,
"1757557948.106",,"-0.0171",,,
"1757557948.107",,,"0.0521",,
"1757557948.108",,,,"0.377",
"1757557948.206","-0.0016",,,,
"1757557948.207",,"-0.0102",,,
"1757557948.208",,,"0.0829",,
"1757557948.209",,,,"0.2283",
"1757557948.306","-0.0022",,,,
"1757557948.308",,"-0.0012","0.0961",,
"1757557948.311",,,,"0.0314",
"1757557948.408","-0.0019",,,,
"1757557948.409",,"0.008",,,
"1757557948.41",,,"0.089",,
"1757557948.411",,,,"-0.172",
"1757557948.509","-0.0007",,,,
"1757557948.51",,"0.0155",,,
"1757557948.511",,,"0.063",,
"1757557948.513",,,,"-0.3387",
"1757557948.61","0.0011",,,,
"1757557948.611",,"0.0196",,,
"1757557948.612",,,"0.0236",,
"1757557948.614",,,,"-0.4336",
"1757557948.71","0.0031",,,,
"1757557948.712",,"0.0196",,,
"1757557948.713",,,"-0.0207",,
"1757557948.715",,,,"-0.4365",
"1757557948.812","0.0049",,,,
"1757557948.813",,"0.0153",,,
"1757557948.814",,,"-0.0605",,
"1757557948.815",,,,"-0.3469",
"1757557948.913","0.0061",,,,
"1757557948.914",,"0.0078",,,
"1757557948.915",,,"-0.0876",,
"1757557948.917",,,,"-0.1839",
"1757557949.014","0.0064",,,,
"1757557949.015",,"-0.0014",,,
"1757557949.016",,,"-0.096",,
"1757557949.017",,,,"0.0179",
"1757557949.115","0.0058",,,,
"1757557949.116",,"-0.0103",,,
"1757557949.117",,,"-0.0841",,
"1757557949.119",,,,"0.2157",
"1757557949.216","0.0044",,,,
"1757557949.217",,"-0.0171",,,
"1757557949.218",,,"-0.0544",,
"1757557949.22",,,,"0.3677",
"1757557949.317","0.0025",,,,
"1757557949.318",,"-0.0203",,,
"1757557949.319",,,"-0.0132",,
"1757557949.321",,,,"0.4416",
"1757557949.418","0.0005",,,,
"1757557949.419",,"-0.0192",,,
"1757557949.42",,,"0.0308",,
"1757557949.422",,,,"0.4219",
"1757557949.519","-0.0012",,,,
"1757557949.52",,"-0.0141",,,
"1757557949.521",,,"0.0682",,
"1757557949.523",,,,"0.3128",
"1757557949.62","-0.0022",,,,
"1757557949.621",,"-0.006",,,
"1757557949.622",,,"0.0911",,
"1757557949.624",,,,"0.1375",
"1757557949.721","-0.0024",,,,
"1757557949.722",,"0.0032",,,
"1757557949.723",,,"0.0947",,
"1757557949.725",,,,"-0.0667",
"1757557949.822","-0.0016",,,,
"1757557949.823",,"0.0118",,,
"1757557949.824",,,"0.0782",,
"1757557949.826",,,,"-0.2566",
"1757557949.923","-0.0001",,,,
"1757557949.924",,"0.0178",,,
"1757557949.925",,,"0.0452",,
"1757557949.927",,,,"-0.392",
"1757557950.024","0.0018",,,,
"1757557950.025",,"0.02",,,
"1757557950.026",,,"0.0026",,
"1757557950.028",,,,"-0.4442",
"1757557950.125","0.0038",,,,
"1757557950.126",,"0.0179",,,
"1757557950.127",,,"-0.0405",,
"1757557950.129",,,,"-0.4022",
"1757557950.226","0.0053",,,,
"1757557950.227",,"0.012",,,
"1757557950.228",,,"-0.0749",,
"1757557950.23",,,,"-0.2751",
