timestamp(ms),x,dx,theta,dtheta,
"1757540639.588",,,"0.02",,
"1757540639.589",,,,,
"1757540639.686","0",,,,
"1757540639.687",,"0",,,
"1757540639.689",,,"0.03",,
"1757540639.69",,,,,
"1757540639.788","0",,,,
"1757540639.789",,"0",,,
"1757540639.79",,,"0.03",,
"1757540639.791",,,,,
"1757540639.889","0","0",,,
"1757540639.89",,,"0.03",,
"1757540639.893",,,,,
"1757540639.99","0","0",,,
"1757540639.991",,,"0.02",,
"1757540639.994",,,,,
"1757540640.091","0",,,,
"1757540640.092",,"0.01","0.01",,
"1757540640.094",,,,,
"1757540640.192","0","0.01",,,
"1757540640.194",,,"-0.01",,
"1757540640.195",,,,,
"1757540640.293","0",,,,
"1757540640.294",,"0",,,
"1757540640.296",,,"-0.02",,
"1757540640.297",,,,,
"1757540640.394","0","0",,,
"1757540640.396",,,"-0.02",,
"1757540640.397",,,,,
"1757540640.494","0",,,,
"1757540640.495",,"0",,,
"1757540640.497",,,"-0.03",,
"1757540640.498",,,,,
"1757540640.596","0",,,,
"1757540640.597",,"0",,,
"1757540640.598",,,"-0.02",,
"1757540640.599",,,,,
"1757540640.697","0","0",,,
"1757540640.699",,,"-0.02",,
"1757540640.7",,,,,
"1757540640.797","0",,,,
"1757540640.798",,"-0.01",,,
"1757540640.8",,,"-0.01",,
"1757540640.801",,,,,
"1757540640.899","0","-0.01",,,
"1757540640.901",,,"0",,
"1757540640.902",,,,,
"1757540641","0","0",,,
"1757540641.002",,,"0.01",,
"1757540641.003",,,,,
"1757540641.101","0","0",,,
"1757540641.103",,,"0.02",,
"1757540641.104",,,,,
"1757540641.202","0","0",,,
"1757540641.204",,,"0.02",,
"1757540641.205",,,,,
"1757540641.303","0",,,,
"1757540641.304",,"0",,,
"1757540641.305",,,"0.02",,
"1757540641.306",,,,,
"1757540641.405","0","0",,,
"1757540641.406",,,"0.02",,
"1757540641.407",,,,,
"1757540641.505","0","0",,,
"1757540641.507",,,"0.01",,
"1757540641.508",,,,,
"1757540641.606","0","0",,,
"1757540641.608",,,"0",,
"1757540641.609",,,,,
"1757540641.707","0","0",,,
"1757540641.709",,,"-0.01",,
"1757540641.71",,,,,
"1757540641.808","0","0",,,
"1757540641.81",,,"-0.02",,
"1757540641.811",,,,,
"1757540641.909","0","0",,,
"1757540641.911",,,"-0.02",,
"1757540641.912",,,,,
"1757540642.01","0",,,,
